'jin'zhui'bu'she 紧追不舍
'jing'jiu'bu'chi'chi'fa'jiu 敬酒不吃吃罚酒
'jiu'shi'zhu 救世主
'ju'dong'jing'ji 举动荆棘
'ju'zu'er'ju 聚族而居
'ju'shi'yu'le 具食与乐
'ju'shi'yu'yue 具食与乐
'ju'zi'chen'dao 具自陈道
'juan'pu'gai 卷铺盖
'jue'ren'shi 绝人事
'kai'zu'ma'li 开足马力
'kan'ren'shuo'hua 看人说话
'keng'keng'wa'wa 坑坑洼洼
'kong'kong'dong'dong 空空洞洞
'kong'qian'wei'you 空前未有
'kong'shou'tao'bai'lang 空手套白狼
'kong'tou'ren'qing 空头人情
'kong'fang'xiong 孔方兄
'ku'rou'ji 苦肉计
'kuai'yan'kuai'yu 快言快语
'kui'hua'xiang'ri 葵花向日
'lai'lu'bu'ming 来路不明
'lai'qu'cong'cong 来去匆匆
'lao'hu'jie'zhu'xiang'gong'jie'shu 老虎借猪相公借书
'leng'leng'qing'qing 冷冷清清
'leng'shui'tang'zhu 冷水烫猪
'li'ti'tai'yuan 离题太远
'li'chang'bu'wen 立场不稳
'lian'beng'dai'tiao 连蹦带跳
'lian'gun'dai'pa 连滚带爬
'lian'fa'jin'chi 敛发谨饬
'lian'jiu'tan'bei 恋酒贪杯
'liang'le'ban'jie 凉了半截
'liang'mian'tao'hao 两面讨好
'liang'qing'liang'yuan 两情两愿
'lin'se'gui 吝啬鬼
'ling'ling'san'san 零零散散
'shuai'xing'ren'yi 率性任意
'luan'kou'mao'zi 乱扣帽子
'luo'lv'ji'cun 罗缕纪存
'luo'man'di'ke 罗曼蒂克
'luo'hua'shi'jie 落花时节
'man'kou'zhi'hu'zhe'ye 满口之乎者也
'man'chi'zhi'que 慢弛之阙
'mang'mu'chong'bai 盲目崇拜
'mang'mu'le'guan 盲目乐观
'mao'pai'huo 冒牌货
'mao'shi'gui 冒失鬼
'mao'ru'qi'xin 貌如其心
'mei'da'mei'xiao 没大没小
'mei'shang'mei'xia 没上没下
'mei'shi'zhao'shi 没事找事
'mei'xin'mei'fei 没心没肺
'mei'mu'bu'qing 眉目不清
'mei'ren'ji 美人计
'men'sheng'bu'xiang 闷声不响
'mi'bu'ke'fen 密不可分
'mi'mi'ma'ma 密密麻麻
'miao'bi'sheng'hua 妙笔生花
'ming'ling'zhi'zi 螟蛉之子
'mo'zhe'shi'tou'guo'he 摸着石头过河
'mo'dong 磨动
'mo'zui'pi'zi 磨嘴皮子
'mo'xi'ni 抹稀泥
'mo'ke'sao'ren 墨客骚人
'mu'ye'cha 母夜叉
'mu'hou'cao'zong 幕后操纵
'mu'kong'si'hai 目空四海
'nan'ban'nv'zhuang 男扮女妆
'nan'nan'nv'nv 男男女女
'nan'nv'ping'deng 男女平等
'neng'shen'neng'suo 能伸能缩
'ni'zheng'wo'duo 你争我夺
'nv'ban'nan'zhuang 女扮男装
'nv'liu'zhi'bei 女流之辈
'ou'feng'mo'yu 欧风墨雨
'ou'niao'bu'xia 鸥鸟不下
'ou'niao'wang'ji 鸥鸟忘机
'ou'gong'ma'po 殴公骂婆
'ou'duan'si'bu'duan 藕断丝不断
'ou'duan'si'zhang 藕断丝长
'ou'duan'si'chang 藕断丝长
'ou'duan'si'lian 藕断丝联
'ou'yu'qi'shi 偶语弃市
'ou'zhu'shi'ming 偶烛施明
'pa'shan'yue'ling 爬山越岭
'pan'yuan'jue'yu 判冤决狱
'pao'ze'zhi'yi 袍泽之谊
'pao'jiang'hu 跑江湖
'peng'yi'bi'zi'hui 碰一鼻子灰
'pi'qie'dao'kuan 批郄导窾
'pi'xi'dao'kuan 批郄导窾
'pi'zi'xue'fa 披缁削发
'pi'kong'ban'hai 劈空扳害
'pi'li'pa'la 劈里啪啦
'pi'kai'rou'po 皮开肉破
'pin'ming'san'lang 拼命三郎
'po'lan'huo 破烂货
'qi'ren'yan'mu 欺人眼目
'qi'shi'er'bian 七十二变
'qi'qie'ba'shou 七郄八手
'qi'xi'ba'shou 七郄八手
'qi'yuan'ji'wang 奇冤极枉
'qi'tian'da'sheng 齐天大圣
'qi'er'bao'fu 乞儿暴富
'qi'zhi'ke'xi'shi'zhi'wu'wei 弃之可惜食之无味
'qian'zhe'bi'zi'zou 牵着鼻子走
'qian'gu'qi'yuan 千古奇冤
'qian'jin'bi'wu 千金比屋
'qian'jiao'hou'jiao 前脚后脚
'qiao'shang'jia'qiao 巧上加巧
'qin'shang'jia'qin 亲上加亲
'qing'zhong'jiu'fu 轻重九府
'qing'cang'cha'ku 清仓查库
'qing'qing'bai'bai 清清白白
'qing'qing'chu'chu 清清楚楚
'qing'tian'zhu 擎天柱
'qing'zai'jun'ben 情在骏奔
'qing'you'ci'wang 请由此亡
'qiong'wang'jie'ju 穷亡解沮
'zuo'zhen'tu'shi 葄枕图史
'qu'min'yu'guang 取民愈广
'qu'she'liang'nan 取舍两难
'qu'yi'lai 取以来
'quan'ju'zai'xiong 全局在胸
'qun'ying'hui 群英会
'ren'hai'zhan'shu 人海战术
'ren'lao'xin'bu'lao 人老心不老
'ren'wu'ren'liu 人五人六
'ren'ren'bai'bu 任人摆布
'ren'ren'zai'ge 任人宰割
'ri'gan'xi'ti 日干夕惕
'ri'xin'yue'zhe 日新月着
'ri'xin'yue'zhao 日新月着
'rou'zhong'you'gang 柔中有刚
'ruan'gu'tou 软骨头
'run'bi'zhi'zi 润笔之资
'ruo'guan'qing'si 弱管轻丝
'sa'cun'ma'jie 撒村骂街
'sa'jiu'feng'er 撒酒疯儿
'sa'kai'ya'zi 撒开鸭子
'sa'shou'ren'huan 撒手人寰
'sa'shou'jian 撒手锏
'sa'ya'zi 撒丫子
'sai'gou'dong 塞狗洞
'se'gou'dong 塞狗洞
'sai'xue'qi'shuang 赛雪欺霜
'san'bai'liu'shi 三百六十
'san'bei'he'wan 三杯和万
'san'bu'zhi 三不知
'san'chi'tong'zi 三尺童子
'san'chui'liang'bang 三锤两棒
'san'cun'bu'lan 三寸不烂
'san'fan'si'fu 三番四覆
'san'fen'si'ren 三分似人
'san'fen'tian'xia 三分天下
'san'fen'xiang'ren 三分像人
'san'fu'cheng'shi 三夫成市
'san'ge'chou'pi 三个臭皮
'san'guo'jia'men 三过家门
'san'guo'qi'men 三过其门
'san'jiao'mao 三脚猫
'san'jiao'lian'ai 三角恋爱
'san'jue'wei'bian 三绝韦编
'san'nan'si'nv 三男四女
'san'nian'bu'kui 三年不窥
'san'qian'zhu'lv 三千珠履
'san'quan'bu'di'liang'jiao 三拳不敌两脚
'san'ren'cheng'shi 三人成市
'san'ren'cheng'zhong 三人成众
'san'ri'bu'tan 三日不弹
'san'shi'liu'zhe 三十六着
